date,Google_Trend_Score
2021-12-26,47
2022-01-02,62
2022-01-09,58
2022-01-16,59
2022-01-23,79
2022-01-30,59
2022-02-06,57
2022-02-13,47
2022-02-20,61
2022-02-27,57
2022-03-06,48
2022-03-13,44
2022-03-20,42
2022-03-27,45
2022-04-03,39
2022-04-10,40
2022-04-17,34
2022-04-24,35
2022-05-01,38
2022-05-08,84
2022-05-15,58
2022-05-22,47
2022-05-29,39
2022-06-05,37
2022-06-12,100
2022-06-19,78
2022-06-26,58
2022-07-03,51
2022-07-10,44
2022-07-17,47
2022-07-24,42
2022-07-31,36
2022-08-07,34
2022-08-14,34
2022-08-21,33
2022-08-28,33
2022-09-04,33
2022-09-11,33
2022-09-18,35
2022-09-25,30
2022-10-02,28
2022-10-09,26
2022-10-16,25
2022-10-23,27
2022-10-30,27
2022-11-06,52
2022-11-13,47
2022-11-20,35
2022-11-27,31
2022-12-04,28
2022-12-11,28
2022-12-18,26
2022-12-25,27
2023-01-01,27
